DIAMETER,DISPLACEMENT,TIME
3.943074155598879,0.4032512903213501,0.15449212491512299
3.943063974380493,0.40338921546936035,0.15454494953155518
3.9430539086461067,0.4035271406173706,0.15459777414798737
3.9430440589785576,0.40366503596305847,0.15465059876441956
3.9430344440042973,0.40380293130874634,0.15470342338085175
3.943025015294552,0.4039408564567566,0.15475624799728394
3.9430156610906124,0.40407878160476685,0.15480907261371613
3.943006370216608,0.4042166769504547,0.15486189723014832
3.942997109144926,0.4043545722961426,0.1549147218465805
3.942987859249115,0.40449249744415283,0.1549675464630127
3.9429786801338196,0.4046304225921631,0.15502037107944489
3.9429695568978786,0.40476831793785095,0.15507319569587708
3.9429604820907116,0.4049062132835388,0.15512602031230927
3.942951414734125,0.4050441384315491,0.15517884492874146
3.9429424069821835,0.4051820635795593,0.15523166954517365
3.942933477461338,0.4053199589252472,0.15528449416160583
3.9429246559739113,0.40545785427093506,0.15533731877803802
3.9429158344864845,0.4055957794189453,0.15539014339447021
3.9429070129990578,0.4057336747646332,0.1554429680109024
3.9428981617093086,0.40587157011032104,0.1554957926273346
3.942889280617237,0.4060094952583313,0.15554861724376678
3.942880444228649,0.40614742040634155,0.15560144186019897
3.942871566861868,0.4062853157520294,0.15565426647663116
3.9428626969456673,0.4064232110977173,0.15570709109306335
3.9428537897765636,0.40656113624572754,0.15575991570949554
3.9428448490798473,0.4066990613937378,0.15581274032592773
3.9428359270095825,0.40683695673942566,0.15586556494235992
3.94282703474164,0.4069748520851135,0.15591838955879211
3.94281817227602,0.4071127772331238,0.1559712141752243
3.942809283733368,0.40725070238113403,0.1560240387916565
3.9428003691136837,0.4073885977268219,0.15607686340808868
3.942791383713484,0.40752649307250977,0.15612968802452087
3.942782338708639,0.40766441822052,0.15618251264095306
3.942773189395666,0.4078023433685303,0.15623533725738525
3.9427639544010162,0.40794023871421814,0.15628816187381744
3.94275464117527,0.408078134059906,0.15634098649024963
3.9427452497184277,0.40821605920791626,0.15639381110668182
3.9427358508110046,0.4083539843559265,0.156446635723114
3.9427263662219048,0.4084918797016144,0.1564994603395462
3.9427167922258377,0.40862977504730225,0.1565522849559784
3.9427071548998356,0.4087677001953125,0.15660510957241058
3.942697487771511,0.40890562534332275,0.15665793418884277
3.942687764763832,0.4090435206890106,0.15671075880527496
3.9426778815686703,0.4091814160346985,0.15676358342170715
3.9426678232848644,0.40931934118270874,0.15681640803813934
3.942657593637705,0.409457266330719,0.15686923265457153
3.942647270858288,0.40959516167640686,0.15692205727100372
3.942636866122484,0.4097330570220947,0.1569748818874359
3.9426263757050037,0.409870982170105,0.1570277065038681
3.942615780979395,0.41000890731811523,0.1570805311203003
3.942605070769787,0.4101468026638031,0.15713335573673248
3.9425942711532116,0.41028469800949097,0.15718618035316467
3.942583329975605,0.4104226231575012,0.15723900496959686
3.942572273313999,0.4105605483055115,0.15729182958602905
3.9425611160695553,0.41069844365119934,0.15734465420246124
3.9425498321652412,0.4108363389968872,0.15739747881889343
3.9425383917987347,0.41097426414489746,0.15745030343532562
3.942526787519455,0.4111121892929077,0.1575031280517578
3.942515082657337,0.4112500846385956,0.15755595266819
3.942503310739994,0.41138797998428345,0.1576087772846222
3.9424914047122,0.4115259051322937,0.15766160190105438
3.9424793384969234,0.41166383028030396,0.15771442651748657
3.9424671418964863,0.4118017256259918,0.15776725113391876
3.9424548260867596,0.4119396209716797,0.15782007575035095
3.9424423463642597,0.41207754611968994,0.15787290036678314
3.9424296841025352,0.4122154712677002,0.15792572498321533
3.9424168094992638,0.41235336661338806,0.15797854959964752
3.942403770983219,0.4124912619590759,0.1580313742160797
3.94239055365324,0.4126291871070862,0.1580841988325119
3.9423771761357784,0.41276711225509644,0.1581370234489441
3.9423636943101883,0.4129050076007843,0.15818984806537628
3.942350134253502,0.41304290294647217,0.15824267268180847
3.9423364773392677,0.4131808280944824,0.15829549729824066
3.9423227570950985,0.4133187532424927,0.15834832191467285
3.942308958619833,0.41345664858818054,0.15840114653110504
3.942295115441084,0.4135945439338684,0.15845397114753723
3.942281164228916,0.41373246908187866,0.15850679576396942
3.9422670751810074,0.4138703942298889,0.1585596203804016
3.9422528333961964,0.41400831937789917,0.1586124449968338
3.942238450050354,0.41414621472358704,0.158665269613266
3.942223899066448,0.4142841100692749,0.15871809422969818
3.9422091878950596,0.41442203521728516,0.15877091884613037
3.94219434261322,0.4145599603652954,0.15882374346256256
3.9421794340014458,0.4146978557109833,0.15887656807899475
3.942164421081543,0.41483575105667114,0.15892939269542694
3.9421492777764797,0.4149736762046814,0.15898221731185913
3.9421339817345142,0.41511160135269165,0.15903504192829132
3.9421185590326786,0.4152494966983795,0.1590878665447235
3.94210297241807,0.4153873920440674,0.1591406911611557
3.9420872181653976,0.41552531719207764,0.1591935157775879
3.942071221768856,0.4156632423400879,0.15924634039402008
3.9420550018548965,0.41580113768577576,0.15929916501045227
3.942038591951132,0.4159390330314636,0.15935198962688446
3.942021992057562,0.4160769581794739,0.15940481424331665
3.9420052841305733,0.41621488332748413,0.15945763885974884
3.94198852032423,0.416352778673172,0.15951046347618103
3.9419717378914356,0.41649067401885986,0.15956328809261322
3.9419549144804478,0.4166285991668701,0.1596161127090454
3.9419379495084286,0.41676652431488037,0.1596689373254776
3.9419208504259586,0.41690441966056824,0.1597217619419098
3.9419036097824574,0.4170423150062561,0.15977458655834198
3.9418862611055374,0.41718024015426636,0.15982741117477417
3.9418687634170055,0.4173181653022766,0.15988023579120636
3.9418511167168617,0.4174560606479645,0.15993306040763855
3.9418333135545254,0.41759395599365234,0.15998588502407074
3.941815387457609,0.4177318811416626,0.16003870964050293
3.9417973831295967,0.41786980628967285,0.16009153425693512
3.9417792670428753,0.4180077016353607,0.1601443588733673
3.941761054098606,0.4181455969810486,0.1601971834897995
3.941742707043886,0.41828352212905884,0.1602500081062317
3.9417241849005222,0.4184214472770691,0.16030283272266388
3.9417054392397404,0.41855934262275696,0.16035565733909607
3.9416865296661854,0.4186972379684448,0.16040848195552826
3.9416675604879856,0.4188351631164551,0.16046130657196045
3.94164852052927,0.41897308826446533,0.16051413118839264
3.9416294023394585,0.4191109836101532,0.16056695580482483
3.9416102282702923,0.41924887895584106,0.16061978042125702
3.941591016948223,0.4193868041038513,0.1606726050376892
3.941571783274412,0.4195247292518616,0.1607254296541214
3.9415524750947952,0.41966262459754944,0.1607782542705536
3.941533099859953,0.4198005199432373,0.16083107888698578
3.9415135979652405,0.41993844509124756,0.16088390350341797
3.941493958234787,0.4200763702392578,0.16093672811985016
3.9414741545915604,0.4202142655849457,0.16098955273628235
3.9414542131125927,0.42035216093063354,0.16104237735271454
3.9414341785013676,0.4204900860786438,0.16109520196914673
3.941414125263691,0.42062801122665405,0.16114802658557892
3.9413939900696278,0.4207659065723419,0.1612008512020111
3.9413737319409847,0.4209038019180298,0.1612536758184433
3.941353313624859,0.42104172706604004,0.1613065004348755
3.941332768648863,0.4211796522140503,0.16135932505130768
3.941312078386545,0.42131754755973816,0.16141214966773987
3.941291283816099,0.421455442905426,0.16146497428417206
3.941270373761654,0.4215933680534363,0.16151779890060425
3.9412493258714676,0.42173129320144653,0.16157062351703644
3.9412281550467014,0.4218691885471344,0.16162344813346863
