JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
122,1.37992,1.06838,2.24901,0.32208,0.11058,0.05159,0.00139,71.22769,21.01843,1.50717,41.09585,41.84943,2.5,110.25679
123,1.30109,0.9108,1.54713,0.25565,0.19986,0.03329,0.00137,72.42424,17.21447,1.6786,33.20609,34.04539,2.5,109.10207
124,1.26196,1.09721,2.49978,0.34191,0.12848,0.08773,0.00137,69.94802,16.50542,1.54833,31.89738,32.67155,2.5,128.61516
125,1.48006,1.0372,2.55509,0.2595,0.10304,0.04477,0.00146,18.44137,23.26038,1.62627,45.52293,46.33607,2.5,110.85997
126,1.03664,0.93417,1.90155,0.25503,0.17443,0.06435,0.00147,601.32132,2.3363,1.74417,2.95013,3.82222,2.5,108.56854
127,1.487,1.0284,1.68844,0.28401,0.10111,0.07749,0.00133,662.30973,5.95021,1.58226,10.45016,11.24129,2.5,108.57727
128,1.52562,1.06515,2.55052,0.38432,0.16363,0.08107,0.00136,81.16018,22.50424,1.65209,43.95478,44.78083,2.5,106.71023
129,1.37789,1.01859,2.55285,0.30858,0.12037,0.03257,0.00148,80.434,17.96323,1.52726,34.87808,35.64171,2.5,134.88171
130,1.56242,1.04088,2.51259,0.39319,0.18239,0.0487,0.00136,80.94649,23.35076,1.61386,45.72005,46.52699,2.5,172.31862
131,1.48827,0.96043,1.78974,0.35405,0.16635,0.05791,0.00144,446.34384,8.02048,1.64669,14.58419,15.40753,2.5,90.97776
132,1.53686,0.98419,2.55421,0.25098,0.13872,0.07018,0.00148,81.17481,25.54349,2.04178,49.71992,50.74081,2.5,100.01517
133,1.56427,0.98902,2.54454,0.34408,0.11468,0.06242,0.00144,80.88178,23.46167,1.54321,46.01766,46.78927,2.5,104.4432
134,1.58251,0.97855,2.47682,0.31509,0.18393,0.08413,0.00142,81.24035,22.09493,2.0144,42.75323,43.76043,2.5,105.54457
135,1.42948,0.91713,2.55955,0.35249,0.13179,0.07841,0.00138,80.98601,19.92353,1.55619,38.82828,39.60637,2.5,109.53527
136,1.02313,1.03127,1.87086,0.36441,0.18265,0.07214,0.00134,273.72166,10.57599,1.55151,19.86436,20.64012,2.5,138.08466
