U,RF
0.0,0.0
9.8e-05,0.0
0.000196,0.0
0.000294,0.0
0.000392,0.0
0.00049,0.0
0.000588,0.0
0.000686,0.0
0.000784,0.0
0.000882,0.0
0.00098,0.0
0.001078,0.0
0.001176,0.0
0.001274,0.0
0.001372,0.0
0.00147,0.0
0.001568,0.0
0.001666,0.0
0.001764,0.0
0.001862,0.0
0.00196,0.0
0.002058,0.0
0.002156,0.0
0.002254,0.0
0.002352,0.0
0.00245,0.0
0.002548,0.004240893094300646
0.002646,0.024566830223391456
0.002744,0.04484583836354106
0.002842,0.06507797060211651
0.00294,0.0852632800264852
0.003038,0.10540181972401408
0.003136,0.1254936427820703
0.003234,0.14553880228802107
0.003332,0.16553735132923364
0.00343,0.18548934299307507
0.003528,0.20539483036691242
0.003626,0.22525386653811297
0.003724,0.245066504594044
0.003822,0.26483279762207235
0.00392,0.2845527987095654
0.004018,0.3042265609438902
0.004116,0.323854137412414
0.004214,0.34343558120250395
0.004312,0.3629709454015272
0.00441,0.38246028309685065
0.004508,0.40190364737584183
0.004606,0.4213010913258677
0.004704,0.44065266803429537
0.004802,0.4599584305884923
0.0049,0.47921843207582526
0.004998,0.4984327255836616
0.005096,0.5176013641993682
0.005194,0.5367244010103127
0.005292,0.5558018891038621
0.00539,0.5748338815673832
0.005488,0.5938204314882436
0.005586,0.6127615919538103
0.005684,0.6316574160514503
0.005782,0.650507956868531
0.00588,0.6693132674924194
0.005978,0.6880734010104825
0.006076,0.7067884105100879
0.006174,0.7254583490786024
0.006272,0.7440832698033932
0.00637,0.7626632257718275
0.006468,0.7811982700712727
0.006566,0.7996884557890958
0.006664,0.8181338360126635
0.006762,0.8365344638293433
0.00686,0.8548903923265025
0.006958,0.8732016745915083
0.007056,0.8914683637117278
0.007154,0.9096905127745276
0.007252,0.9278681748672757
0.00735,0.9460014030773387
0.007448,0.9640902504920839
0.007546,0.9821347701988785
0.007644,1.0001350152850896
0.007742,1.0180910388380844
0.00784,1.03600289394523
0.007938,1.0538706336938934
0.008036,1.0716943111714425
0.008133999999999999,1.0894739794652437
0.008232,1.107209691662664
0.00833,1.124901500851071
0.008428,1.142549460117832
0.008525999999999999,1.160153622550314
0.008624,1.1777140412358837
0.008722,1.1952307692619086
0.00882,1.2127038597157564
0.008917999999999999,1.2301333656847935
0.009016,1.2475193402563873
0.009114,1.2648618365179047
0.009212,1.2821609075567133
0.009309999999999999,1.2994166064601802
0.009408,1.3166289863156722
0.009506,1.3337981002105566
0.009604,1.3509240012322008
0.009701999999999999,1.3680067424679716
0.0098,1.3850463770052366
0.009898,1.4020429579313622
0.009996,1.4189965383337164
0.010093999999999999,1.435907171299666
0.010192,1.4527749099165783
0.01029,1.46959980727182
0.010388,1.486381916452759
