U,RF
0.0,0.0
9.2e-05,0.012296347638919966
0.000184,0.025726642456126037
0.000276,0.040241744621766856
0.000368,0.05579251430599107
0.00046,0.07232981167894728
0.000552,0.08980449691078415
0.000644,0.10816743017165033
0.000736,0.12736947163169443
0.000828,0.14736148146106515
0.00092,0.16809431982991105
0.001012,0.18951884690838083
0.001104,0.21158592286662306
0.001196,0.23424640787478637
0.001288,0.25745116210301955
0.00138,0.28115104572147104
0.001472,0.3052969189002896
0.001564,0.3298396418096239
0.001656,0.3547300746196224
0.001748,0.379919077500434
0.00184,0.4053575106222071
0.001932,0.43099623415509036
0.002024,0.45678610826923255
0.002116,0.48267799313478227
0.002208,0.5086227489218881
0.0023,0.5345712358006987
0.002392,0.5604743139413627
0.002484,0.5862828435140288
0.002576,0.6119476846888456
0.002668,0.6374196976359618
0.00276,0.6626497425255258
0.002852,0.6875886795276864
0.002944,0.7121873688125925
0.003036,0.7363966705503924
0.003128,0.7601674449112348
0.00322,0.7834505520652684
0.003312,0.8061968521826416
0.003404,0.8283572054335031
0.003496,0.8498824719880023
0.003588,0.8707248463829491
0.00368,0.8908666981933742
0.003772,0.9103202884493133
0.003864,0.9290991558292361
0.003956,0.9472168390116135
0.004048,0.9646868766749145
0.00414,0.9815228074976106
0.004232,0.9977381701581711
0.004324,1.0133465033350664
0.004416,1.0283613457067668
0.004508,1.042796235951742
0.0046,1.056664712748462
0.004692,1.0699803147753981
0.004784,1.0827565807110195
0.004876,1.0950070492337969
0.004968,1.1067452590221998
0.00506,1.1179847487546986
0.005152,1.128739057109764
0.005244,1.139021722765865
0.005336,1.1488462844014724
0.005428,1.158226280695057
0.00552,1.1671752503250878
0.005612,1.175706731970036
0.005704,1.1838342643083708
0.005796,1.1915713860185633
0.005888,1.1989316357790827
0.00598,1.2059285522684
0.006072,1.2125756741649847
0.006164,1.2188865401473068
0.006256,1.2248746888938373
0.006348,1.2305536590830461
0.00644,1.235936989393403
0.006532,1.2410382185033777
0.006624,1.2458708850914417
0.006716,1.2504485278360642
0.006808,1.2547846854157154
0.0069,1.2588928965088657
0.006992,1.2627866997939856
0.007084,1.2664796339495443
0.007176,1.2699852376540128
0.007268,1.2733170495858603
0.00736,1.2764886084235583
0.007452,1.2795134528455758
0.007544,1.2824051215303836
0.007636,1.2851771531564515
0.007728,1.2878430864022496
0.00782,1.2904164599462487
0.007912,1.2929108124669182
0.008004,1.2953421806532175
0.008096,1.2977382386987204
0.008188,1.3001300471060142
0.00828,1.3025486667591613
0.008372,1.305025158542225
0.008464,1.3075905833392663
0.008556,1.310276002034349
0.008648,1.3131124755115349
0.00874,1.3161310646548872
0.008832,1.3193628303484681
0.008924,1.3228388334763401
0.009016,1.3265901349225664
0.009108,1.3306477955712082
0.0092,1.3350428763063291
0.009292,1.3398064380119916
0.009384,1.3449695415722573
0.009476,1.3505632478711902
0.009568,1.3566186177928512
0.00966,1.3631667122213045
0.009752,1.3702385920406115
0.009844,1.377865318134835
0.009936,1.3860779513880377
0.010028,1.3949075526842822
0.01012,1.404385182907631
0.010212,1.4145419029421462
0.010304,1.4254087736718908
0.010396,1.4370168559809273
0.010488,1.449397210753318
0.01058,1.4625808988731257
0.010672,1.4765989812244122
0.010764,1.4914825186912415
0.010856,1.5072625721576753
0.010948,1.523970202507776
0.01104,1.541636470625606
0.011132,1.5602924373952285
0.011224,1.5799691637007056
0.011316,1.6006977104261
0.011408,1.6225091384554742
0.0115,1.6454345086728903
0.011592,1.6695048819624114
0.011684,1.6947512562216227
0.011776,1.72118907548778
0.011868,1.748797932477806
0.01196,1.7775523858345663
0.012052,1.8074269942009267
0.012144,1.838396316219753
0.012236,1.8704349105339113
0.012328,1.9035173357862667
0.01242,1.9376181506196857
0.012512,1.972711913677034
0.012604,2.008773183601178
0.012696,2.0457765190349817
0.012788,2.0836964786213126
0.01288,2.122507621003036
0.012972,2.162184504823016
0.013064,2.2027016887241224
0.013156,2.2440337313492185
0.013248,2.2861551913411695
0.01334,2.3290059938754473
0.013432,2.372378191668887
0.013524,2.4160243794196523
0.013616,2.4596971514458423
0.013708,2.503149102065554
0.0138,2.5461328255968865
0.013892,2.5884009163579385
0.013984,2.629705968666806
0.014076,2.669800576841589
0.014168,2.7084373352003848
0.01426,2.745368838061293
0.014352,2.7803476797424107
0.014444,2.813155314689138
0.014536,2.843824387343762
0.014628,2.8725168782746295
0.01472,2.8993958369436887
0.014812,2.9246243128128873
0.014904,2.9483653553441758
0.014996,2.970782013999501
0.015088,2.9920373382408143
0.01518,3.0122943775300617
0.015272,3.0317161813291946
0.015364,3.05046579910016
0.015456,3.068706280304906
0.015548,3.086600674405384
0.01564,3.104312030863541
0.015732,3.1220033991413256
0.015824,3.139837828700687
0.015916,3.1579783690035743
0.016008,3.1765880695119364
0.0161,3.195829979687721
0.016192,3.2158671489928783
0.016284,3.236860307745754
0.016376,3.2588614300891954
0.016468,3.281769397893722
0.01656,3.305471580391284
0.016652,3.3298553468138326
0.016744,3.3548080663933124
0.016836,3.380217108361672
0.016928,3.405969841950862
0.01702,3.431953636392829
0.017112,3.4580558609195213
0.017204,3.4841638847628875
0.017296,3.510165077154876
