RF,U
0.0,0.0
0.0,2.4e-05
0.0,4.8e-05
0.0,7.2e-05
0.0,9.6e-05
0.0,0.00012
0.0,0.000144
0.0,0.00016800000000000002
0.0,0.000192
0.0,0.000216
0.0,0.00024
0.0,0.000264
0.0,0.000288
0.0,0.000312
0.0,0.00033600000000000004
0.0,0.00036
0.0,0.000384
0.0,0.000408
0.0,0.000432
0.0,0.000456
0.0,0.00048
0.0,0.000504
0.0,0.000528
0.0,0.000552
0.0,0.000576
0.0,0.0006000000000000001
0.0,0.000624
0.0,0.000648
0.0,0.0006720000000000001
0.0,0.000696
0.0,0.00072
0.0,0.000744
0.0,0.000768
0.0,0.0007920000000000001
0.0,0.000816
0.0,0.00084
0.0,0.000864
0.0,0.000888
0.0,0.000912
0.0,0.000936
0.0,0.00096
0.0,0.000984
0.0,0.001008
0.0,0.001032
0.0,0.001056
0.0,0.00108
0.0,0.001104
0.0,0.001128
0.0,0.001152
0.0,0.001176
0.0,0.0012000000000000001
0.0,0.001224
0.0,0.001248
0.0,0.0012720000000000001
0.0,0.001296
0.0,0.00132
0.0,0.0013440000000000001
0.0,0.001368
0.0,0.001392
0.0,0.001416
0.0,0.00144
0.0,0.001464
0.0,0.001488
0.0,0.001512
0.0,0.001536
0.0,0.00156
0.0,0.0015840000000000001
0.0,0.001608
0.0,0.001632
0.0,0.0016560000000000001
0.0,0.00168
0.0,0.001704
0.0,0.001728
0.0,0.001752
0.0,0.001776
0.0,0.0018
0.0,0.001824
0.0,0.001848
0.0,0.001872
0.0,0.0018960000000000001
0.0,0.00192
0.0,0.001944
0.0,0.001968
0.0,0.001992
0.0,0.002016
0.0,0.00204
0.0,0.002064
0.0,0.002088
0.0,0.002112
0.0,0.002136
0.0,0.00216
0.0,0.002184
0.0,0.002208
0.0,0.002232
0.0,0.002256
0.0,0.00228
0.0,0.002304
0.0,0.002328
0.0,0.002352
0.0,0.002376
0.0,0.0024000000000000002
0.0,0.002424
0.0,0.002448
0.0,0.0024720000000000002
0.0,0.002496
0.0,0.00252
0.0,0.0025440000000000003
0.0,0.002568
0.0,0.002592
0.0,0.0026160000000000003
0.0,0.00264
0.0,0.002664
0.0,0.0026880000000000003
0.0,0.002712
0.0,0.002736
0.0,0.00276
0.0,0.002784
0.0,0.002808
0.0,0.002832
0.0,0.002856
0.0,0.00288
0.0,0.002904
0.0,0.002928
0.0,0.002952
0.0,0.002976
0.0,0.003
0.0,0.003024
0.0,0.003048
0.0,0.003072
0.0,0.0030960000000000002
0.0,0.00312
0.002843623646168969,0.003144
0.006750079046813795,0.0031680000000000002
0.010654740466495283,0.003192
0.014557608305362124,0.003216
0.018458682963563455,0.0032400000000000003
0.02235796484124808,0.003264
0.02625545433856491,0.003288
0.03015115185566286,0.0033120000000000003
0.03404505779269096,0.003336
0.037937172549798004,0.00336
0.04182749652713302,0.0033840000000000003
0.04571603012484493,0.003408
0.04960277374308253,0.003432
0.053487727781994954,0.003456
0.0573708926417309,0.00348
0.061252268722439496,0.003504
0.06513185642426944,0.003528
0.06900965614736998,0.003552
0.0728856682918897,0.003576
0.07675989325797761,0.0036
0.08063233144578286,0.003624
0.08450298325545402,0.003648
0.08837184908714035,0.003672
0.09223892934099054,0.003696
0.09610422441715372,0.00372
0.09996773471577858,0.003744
0.10382946063701415,0.003768
0.10768940258100956,0.0037920000000000002
0.1115475609479133,0.003816
0.11540393613787459,0.00384
0.11925852855104246,0.0038640000000000002
0.12311133858756551,0.003888
0.12696236664759286,0.003912
0.13081161313127343,0.003936
0.13465907843875602,0.00396
0.13850476297018965,0.003984
0.14234866712572336,0.004008
0.14619079130550594,0.004032
0.1500311359096862,0.004056
0.15386970133841338,0.00408
0.15770648799183606,0.004104
0.1615414962701034,0.004128
0.16537472657336427,0.004152
0.1692061793017675,0.004176
0.17303585485546202,0.0042
0.17686375363459694,0.004224
0.18068987603932107,0.004248
0.18451422246978333,0.004272
0.18833679332613262,0.004296
0.19215758900851776,0.00432
0.19597660991708798,0.004344
0.19979385645199188,0.004368
0.2036093290133787,0.004392
0.20742302800139711,0.004416
0.21123495381619606,0.00444
0.21504510685792455,0.004464
0.21885348752673162,0.004488
0.22266009622276595,0.004512
0.22646493334617646,0.004536
0.2302679992971124,0.00456
0.23406929447572233,0.004584
0.23786881928215542,0.004608
0.24166657411656045,0.004632
0.24546255937908645,0.004656
0.24925677546988223,0.00468
0.2530492227890969,0.004704
0.2568399017368791,0.004728
0.2606288127133779,0.004752
0.26441595611874225,0.004776
0.26820133235312116,0.0048000000000000004
0.27198494181666344,0.004824
0.275766784909518,0.004848
0.27954686203183376,0.0048720000000000005
0.28332517358375975,0.004896
0.28710171996544465,0.00492
0.2908765015770378,0.0049440000000000005
0.29464951881868773,0.004968
0.29842077209054363,0.004992
0.3021902617927541,0.0050160000000000005
0.3059579883254684,0.00504
0.3097239520888353,0.005064
0.31348815348300374,0.0050880000000000005
0.31725059290812274,0.005112
0.3210112707643411,0.005136
0.32477018745180775,0.0051600000000000005
0.3285273433706718,0.005184
0.33228273892108173,0.005208
0.336036374503187,0.0052320000000000005
0.3397882505171361,0.005256
0.3435383673630783,0.00528
0.34728672544116235,0.0053040000000000006
0.35103332515153707,0.005328
0.3547781668943516,0.005352
0.35852125106975474,0.005376000000000001
0.3622625780778954,0.0054
0.36600214831892264,0.005424
0.3697399621929853,0.005448
0.3734760201002324,0.005472
0.37721032244081265,0.005496
0.380942869614875,0.00552
0.3846736620225686,0.005544
0.3884027000640421,0.005568
0.39212998413944455,0.005592
0.3958555146489251,0.005616
0.3995792919926323,0.00564
0.4033013165707152,0.005664
0.40702158878332284,0.005688
0.410740109030604,0.005712
0.41445687771270767,0.005736
0.4181718952297827,0.00576
0.42188516198197823,0.005784
0.42559667836944304,0.005808
0.4293064447923258,0.005832
0.43301446165077606,0.005856
0.4367207293449421,0.00588
0.4404252482749731,0.005904
0.44412801884101805,0.005928
0.4478290414432261,0.005952
0.45152831648174563,0.005976
0.45522584435672564,0.006
0.4589216254683155,0.006024
0.4626156602166639,0.006048
0.46630794900191974,0.006072
0.46999849222423173,0.006096
0.47368729028374923,0.0061200000000000004
0.4773743435806208,0.006144
0.4810596525149957,0.006168
0.48474321748702254,0.0061920000000000005
0.4884250388968503,0.006216
0.492105117144628,0.00624
0.4957834526305047,0.0062640000000000005
0.499460045754629,0.006288
0.5031348969171501,0.006312
0.5068080065182168,0.0063360000000000005
0.5104793749579779,0.00636
0.5141490026365827,0.006384
0.5178168899541795,0.0064080000000000005
0.521483037310918,0.006432
0.5251474451069464,0.006456
0.5288101137424142,0.0064800000000000005
0.53247104361747,0.006504
0.5361302351322628,0.006528
0.5397876886869415,0.0065520000000000005
0.543443404681655,0.006576
0.5470973835165525,0.0066
0.5507496255917825,0.0066240000000000005
0.5544001313074942,0.006648
0.5580489010638363,0.006672
0.5616959352609581,0.0066960000000000006
0.5653412342990081,0.00672
0.5689847985781356,0.006744
0.5726266284984891,0.006768000000000001
0.576266724460218,0.006792
0.579905086863471,0.006816
0.5835417161083969,0.006840000000000001
0.5871766125951448,0.006864
0.5908097767238634,0.006888
0.594441208894702,0.006912
0.5980709095078092,0.006936
0.601698878963334,0.00696
0.6053251176614256,0.006984
0.6089496260022325,0.007008
0.6125724043859038,0.007032
0.6161934532125883,0.007056
0.6198127728824354,0.00708
0.6234303637955934,0.007104
0.6270462263522116,0.007128
0.6306603609524388,0.007152
0.6342727679964242,0.007176
0.6378834478843163,0.0072
0.6414924010162639,0.007224
0.6450996277924168,0.007248
0.6487051286129231,0.007272
0.6523089038779317,0.007296
0.6559109539875922,0.00732
0.659511279342053,0.007344
0.663109880341463,0.007368
0.6667067573859715,0.007392
0.6703019108757271,0.007416
0.6738953412108788,0.00744
0.6774870487915756,0.007464
0.6810770340179664,0.007488
0.6846652972901999,0.0075120000000000004
0.6882518390084253,0.007536
0.6918366595727916,0.00756
0.6954197593834475,0.0075840000000000005
0.6990011388405419,0.007608
0.7025807983442238,0.007632
0.7061587382946422,0.0076560000000000005
0.709734959091946,0.00768
0.713309461136284,0.007704
0.7168822448278054,0.0077280000000000005
0.7204533105666586,0.007752
0.7240226587529932,0.007776
0.7275902897869577,0.0078000000000000005
0.731156204068701,0.007824
0.7347204019983724,0.007848
0.7382828839761202,0.007872
0.741843650402094,0.007896
0.745402701676442,0.00792
0.7489600381993138,0.007944
0.752515660370858,0.007968
0.7560695685912238,0.007992
0.7596217632605595,0.008016
0.7631722447790148,0.00804
0.7667210135467382,0.008064
0.7702680699638784,0.008088
0.7738134144305848,0.008112
0.777357047347006,0.008136000000000001
0.7808989691132913,0.00816
0.7844391801295891,0.008184
0.7879776807960488,0.008208
0.7915144715128188,0.008232
0.7950495526800487,0.008256
0.7985829246978868,0.008280000000000001
0.8021145879664826,0.008304
0.8056445428859844,0.008328
0.8091727898565417,0.008352
0.8126993292783031,0.008376
0.8162241615514174,0.0084
0.8197472870760341,0.008424000000000001
0.8232687062523014,0.008448
0.8267884194803687,0.008472
0.8303064271603846,0.008496
0.8338227296924985,0.00852
0.8373373274768587,0.008544
0.8408502209136148,0.008568000000000001
0.8443614104029153,0.008592
0.8478708963449091,0.008616
0.8513786791397453,0.00864
0.8548847591875728,0.008664
0.8583891368885403,0.008688
0.861891812642797,0.008712000000000001
0.8653927868504918,0.008736
0.8688920599117735,0.00876
0.872389632226791,0.008784
0.8758855041956934,0.008808
0.8793796762186294,0.008832
0.8828721486957485,0.008856000000000001
0.8863629220271987,0.00888
0.8898519966131295,0.008904
0.8933393728536898,0.008928
0.8968250511490283,0.008952
0.9003090318992943,0.008976
0.9037913155046362,0.009000000000000001
0.9072719023652034,0.009024
0.9107507928811447,0.009048
0.9142279874526089,0.009072
0.9177034864797449,0.009096
0.921177290362702,0.00912
0.9246493995016285,0.009144000000000001
0.928119814296674,0.009168
0.9315885351479867,0.009192
0.9350555624557162,0.009216
0.9385208966200111,0.00924
0.9419845380410201,0.009264
0.9454464871188928,0.009288
0.9489067442537773,0.009312
0.9523653098458231,0.009336
0.9558221842951791,0.00936
0.9592773680019939,0.009384
0.962730861366417,0.009408
0.9661826647885963,0.009432
0.9696327786686818,0.009456
0.9730812034068219,0.00948
0.9765279394031656,0.009504
0.9799729870578617,0.009528
0.9834163467710595,0.009552
0.9868580189429073,0.009576
0.9902980039735547,0.009600000000000001
0.9937363022631502,0.009624
0.9971729142118428,0.009648
1.0006078402197818,0.009672
1.0040410806871154,0.009696
1.007472636013993,0.00972
1.0109025066005635,0.009744000000000001
1.0143306928469757,0.009768
1.0177571951533788,0.009792
1.0211820139199212,0.009816
1.0246051495467525,0.00984
1.0280266024340212,0.009864
1.0314463729818761,0.009888000000000001
1.0348644615904663,0.009912
1.0382808686599412,0.009936
1.0416955945904487,0.00996
1.0451086397821385,0.009984
1.0485200046351593,0.010008
1.05192968954966,0.010032000000000001
1.0553376949257898,0.010056
1.0587440211636971,0.01008
1.0621486686635313,0.010104
1.0655516378254408,0.010128
1.0689529290495752,0.010152
1.0723525427360832,0.010176000000000001
1.0757504792851131,0.0102
1.0791467390968146,0.010224
1.0825413225713365,0.010248
1.0859342301088275,0.010272
1.0893254621094364,0.010296
1.0927150189733126,0.010320000000000001
1.0961029011006045,0.010344
1.0994891088914613,0.010368
1.102873642746032,0.010392
1.1062565030644655,0.010416
1.1096376902469105,0.01044
1.113017204693516,0.010464000000000001
1.1163950468044315,0.010488
1.1197712169798049,0.010512
1.1231457156197857,0.010536
1.1265185431245228,0.01056
1.1298896998941652,0.010584
1.1332591863288617,0.010608000000000001
1.136627002828761,0.010632
1.1399931497940126,0.010656
1.143357627624765,0.01068
1.1467204367211672,0.010704
1.1500815774833681,0.010728
1.1534410503115167,0.010752000000000001
1.1567988556057618,0.010776
1.1601549937662525,0.0108
1.1635094651931377,0.010824
1.166862270286566,0.010848
1.170213409446687,0.010872
1.1735628830736486,0.010896
1.1769106915676009,0.010920000000000001
1.180256835328692,0.010944
1.1836013147570712,0.010968
1.1869441302528871,0.010992
1.190285282216289,0.011016
1.1936247710474255,0.01104
1.1969625971464457,0.011064000000000001
1.2002987609134987,0.011088
1.2036332627487332,0.011112
1.206966103052298,0.011136
1.210297282224342,0.01116
1.2136268006650146,0.011184
1.2169546587744646,0.011208000000000001
1.2202808569528403,0.011232
1.2236053956002912,0.011256
1.2269282751169663,0.01128
1.2302494959030141,0.011304
1.2335690583585837,0.011328
1.2368869628838244,0.011352000000000001
1.2402032098788844,0.011376
1.2435177997439133,0.0114
1.2468307328790595,0.011424
1.2501420096844724,0.011448
1.2534516305603007,0.011472
1.256759595906693,0.011496000000000001
1.2600659061237987,0.01152
1.2633705616117665,0.011544
1.2666735627707455,0.011568
1.2699749100008846,0.011592
