JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
86,1.48921,0.93193,1.65805,0.27419,0.10965,0.05172,0.00146,796.39784,18.53458,3.86548,23.23511,25.16785,2.5,109.70805
87,1.51022,1.09197,1.78253,0.35158,0.18785,0.07012,0.00133,796.47658,18.27465,3.91389,22.87603,24.83297,2.5,107.28586
88,1.36224,0.93387,2.42097,0.32033,0.1357,0.07033,0.00138,287.67101,18.272,3.86037,22.87931,24.8095,2.5,88.26928
89,1.56994,1.05001,1.95262,0.25234,0.15422,0.08929,0.00136,796.36617,16.16668,4.06205,20.04442,22.07545,2.5,109.43103
90,0.97768,0.96503,1.42274,0.35565,0.17215,0.06148,0.00131,559.5128,13.1721,3.79083,16.17458,18.07,2.5,97.4053
91,1.54675,0.95046,1.53981,0.28256,0.13003,0.04657,0.00149,796.43939,18.44655,3.89854,23.10863,25.0579,2.5,107.55141
92,1.5341,0.96389,1.65936,0.34044,0.1437,0.04623,0.00134,796.4324,18.74292,3.85378,23.51584,25.44273,2.5,107.64978
93,1.46328,0.98059,1.75722,0.32783,0.17131,0.06466,0.00138,796.48643,18.33822,3.8992,22.96626,24.91586,2.5,103.64061
94,1.49312,0.90026,1.60174,0.28082,0.15037,0.0441,0.00142,796.33621,18.41769,3.89625,23.07064,25.01876,2.5,111.40992
95,1.47598,1.07942,1.88944,0.34912,0.12543,0.0699,0.00144,796.43223,18.76645,3.85463,23.54426,25.47158,2.5,103.29767
96,1.06278,1.08886,1.65538,0.37577,0.16144,0.06437,0.00147,339.87055,11.73212,3.81458,14.26328,16.17057,2.5,92.33072
97,1.43292,1.0073,1.7342,0.31666,0.13501,0.08551,0.00134,796.46239,18.33547,3.868,22.97144,24.90544,2.5,105.54025
98,1.56081,0.91659,1.99447,0.25691,0.10114,0.08262,0.00148,796.55098,17.53696,3.90181,21.90517,23.85607,2.5,105.9435
99,1.54633,1.04657,1.80447,0.31851,0.16672,0.06488,0.00137,796.40783,18.20565,3.92238,22.78222,24.74341,2.5,107.36663
100,1.18197,0.96988,2.00065,0.37195,0.12137,0.04706,0.00131,421.41441,1.79878,3.78544,1.16382,3.05654,2.5,108.52857
101,1.47217,1.05423,1.78085,0.36072,0.18171,0.04909,0.0013,796.43057,18.63409,3.86468,23.36676,25.2991,2.5,105.34502
102,1.46724,0.9699,1.52832,0.2868,0.16294,0.06185,0.0014,796.28472,18.10847,3.93005,22.65216,24.61718,2.5,105.3907
103,1.56906,0.9832,1.54741,0.26557,0.18929,0.06494,0.00149,796.34379,17.67778,4.02465,22.05366,24.06598,2.5,105.70043
104,1.36258,0.96678,1.81388,0.38927,0.15439,0.05279,0.00132,796.45776,18.90861,3.81535,23.74496,25.65263,2.5,105.2889
105,1.4965,0.92726,1.73934,0.26979,0.14857,0.05502,0.00132,796.60688,18.1544,3.90943,22.71913,24.67385,2.5,105.39776
106,1.5493,1.01946,2.04034,0.3514,0.1696,0.04008,0.00144,796.32532,18.68542,3.88366,23.42909,25.37092,2.5,103.65043
107,1.51031,0.93303,1.75049,0.32368,0.14952,0.05229,0.00135,796.43151,18.5766,3.86906,23.28965,25.22418,2.5,105.65308
108,1.50058,0.93566,1.75278,0.2839,0.11336,0.04075,0.00133,796.36647,18.71265,3.84111,23.47828,25.39884,2.5,105.33345
109,1.44627,0.95527,1.72515,0.39662,0.12006,0.03683,0.0015,796.66711,19.06776,3.83591,23.94931,25.86726,2.5,105.29415
110,1.58544,1.02232,1.88755,0.374,0.15987,0.06291,0.00149,796.183,18.61292,3.8978,23.32886,25.27776,2.5,105.5492
111,1.59986,1.01977,1.68955,0.28048,0.14108,0.03656,0.0014,796.37228,18.48659,3.91092,23.15829,25.11375,2.5,105.27513
112,1.5182,1.02782,1.80622,0.37368,0.19844,0.04451,0.00137,796.26402,18.64608,3.88126,23.37695,25.31758,2.5,105.5616
113,1.45452,1.01509,1.71164,0.31492,0.13229,0.04914,0.00142,796.6051,18.67613,3.85787,23.42522,25.35415,2.5,105.40024
114,1.45159,0.99877,1.86214,0.39863,0.15468,0.05906,0.00143,796.26453,18.85659,3.84742,23.66601,25.58972,2.5,107.30679
115,1.5293,0.91905,1.95364,0.35224,0.15331,0.0686,0.00144,796.48214,18.55493,3.88162,23.2576,25.19841,2.5,107.22976
116,1.56074,1.01363,1.70768,0.3191,0.16504,0.06313,0.00138,796.3184,18.24074,3.92129,22.82964,24.79029,2.5,103.78401
117,1.5347,0.96699,1.71829,0.28003,0.19667,0.07183,0.00146,796.29342,17.69283,4.01542,22.07616,24.08387,2.5,119.6803
118,1.54599,1.03309,1.88192,0.27731,0.1376,0.0325,0.00145,796.36992,18.56864,3.89287,23.27197,25.2184,2.5,134.49331
119,1.4889,0.93248,1.86331,0.26389,0.19066,0.08934,0.00138,796.31181,17.23754,4.04589,21.46428,23.48723,2.5,119.75822
120,1.50186,0.96461,2.00623,0.26127,0.17456,0.05725,0.00146,796.27208,17.92302,3.97576,22.39245,24.38033,2.5,122.21483
121,1.44771,1.03209,1.80512,0.37705,0.10065,0.08744,0.00135,796.30719,19.05278,3.81918,23.93408,25.84367,2.5,107.87878
122,1.59615,1.03921,2.0278,0.29829,0.14924,0.03014,0.00139,796.38315,18.64591,3.88661,23.37598,25.31928,2.5,119.7354
123,1.5673,0.94347,1.90766,0.27708,0.14378,0.08986,0.00135,796.35979,17.30699,3.97875,21.57611,23.56549,2.5,108.77744
124,1.29508,0.97093,1.81315,0.26233,0.18594,0.0883,0.00131,796.4249,17.58269,3.97865,21.94189,23.93121,2.5,137.06442
125,1.58978,1.0913,1.85492,0.27048,0.16517,0.06967,0.00143,796.29831,17.55994,4.02346,21.89774,23.90948,2.5,116.14049
126,1.35554,0.99641,1.88753,0.36396,0.15484,0.03854,0.00142,796.34374,18.8906,3.8328,23.71677,25.63317,2.5,133.67707
127,1.59747,1.00135,1.81781,0.27321,0.11956,0.0873,0.00131,796.44285,17.40877,3.91563,21.73121,23.68903,2.5,112.57539
128,1.55269,0.97329,1.79231,0.30735,0.1856,0.08793,0.00133,796.63867,17.64351,3.98735,22.02033,24.014,2.5,117.49948
129,1.41217,0.98694,1.8293,0.35697,0.16928,0.05676,0.00143,796.48465,18.63307,3.86794,23.36421,25.29818,2.5,109.78937
130,1.59584,1.00618,2.45525,0.36246,0.10003,0.07208,0.00135,472.61701,9.32056,3.8521,11.06877,12.99482,2.5,113.20079
131,1.54546,0.90485,1.87394,0.36025,0.16852,0.08607,0.00135,796.93836,18.33598,3.89819,22.96336,24.91245,2.5,105.17951
132,1.32483,1.08992,1.81626,0.30484,0.11736,0.03961,0.00137,796.75326,18.85617,3.82011,23.6757,25.58575,2.5,127.16117
133,1.48501,1.00704,1.53176,0.32631,0.13249,0.0868,0.00138,796.83874,18.41167,3.87106,23.07256,25.00809,2.5,109.2938
134,1.50821,0.96195,2.04405,0.31377,0.16423,0.05653,0.00138,796.72231,18.36658,3.90046,23.00213,24.95236,2.5,125.55853
135,1.3309,0.99142,1.86567,0.30923,0.10002,0.07996,0.0014,796.78097,18.81873,3.8147,23.62649,25.53384,2.5,105.85018
136,1.42675,0.92896,2.01261,0.39213,0.12119,0.04453,0.00138,796.79539,19.06632,3.81795,23.95367,25.86264,2.5,126.91265
137,1.52425,0.94483,1.86833,0.29532,0.19507,0.0361,0.00145,796.76408,18.48589,3.91393,23.15598,25.11294,2.5,109.32794
138,1.5585,0.94643,1.65998,0.38739,0.11543,0.05595,0.00149,796.79973,19.0155,3.85366,23.87383,25.80066,2.5,127.20585
139,1.50156,0.95535,1.68859,0.27018,0.17923,0.04317,0.00137,796.68434,18.28418,3.92346,22.886,24.84773,2.5,121.64406
